subject,trial,movie,frame_start_ms,start_time_ms,end_time_ms,ms_video,calc_frame,duration_ms,start_x_px,start_y_px,end_x_px,end_y_px,amp_deg,amp_px
test_small,0,,4411257,4411486,4411509,229,14,24,641.0,371.5,592.2,371.1,1.43,48.80163931672783
test_small,0,,4411257,4411747,4411801,490,30,55,580.3,368.1,693.0,493.0,5.14,168.22990221717424
test_small,0,,4411257,4412101,4412119,844,51,19,700.3,500.8,740.8,519.9,1.32,44.77789633290066
test_small,0,,4411257,4412287,4412347,1030,62,61,736.5,517.2,899.6,360.0,6.83,226.52472271255522
test_small,0,,4411257,4412949,4413019,1692,102,71,911.2,359.1,587.9,338.5,9.42,323.95562967789283
test_small,0,,4411257,4413200,4413218,1943,117,19,576.0,342.3,521.8,341.9,1.59,54.20147599466277
test_small,0,,4411257,4413911,4413923,2654,160,13,512.7,351.3,535.2,359.0,0.7,23.781084920583414
test_small,0,,4411257,4414098,4414107,2841,171,10,538.5,361.5,552.2,363.5,0.41,13.845215780189244
test_small,0,,4411257,4414665,4414718,3408,205,54,550.0,365.5,317.4,309.2,6.97,239.31663126494158
test_small,0,,4411257,4414848,4414889,3591,216,42,331.7,315.5,184.5,231.3,4.94,169.58030546027447
test_small,0,,4411257,4415585,4415684,4328,260,100,386.0,242.9,1158.8,218.3,21.84,773.1914381315923
test_small,0,,4411257,4415805,4415826,4548,273,22,1171.3,218.0,1227.3,207.3,1.56,57.01306867727784
test_small,0,,4411257,4416086,4416170,4829,290,85,1218.3,201.9,600.5,221.0,17.46,618.0951787548581
test_small,0,,4411257,4416451,4416500,5194,312,50,623.1,226.3,608.4,385.1,5.12,159.47893277796913
test_small,0,,4411257,4417897,4417913,6640,399,17,614.1,387.2,587.7,365.3,1.04,34.30116616093392
test_small,0,,4411257,4418145,4418189,6888,413,45,583.6,368.1,563.1,484.6,3.73,118.28989813166633
test_small,0,,4411257,4418417,4418464,7160,430,48,556.1,498.2,573.0,386.7,3.56,112.77348979259266
test_small,0,,4411257,4418931,4418940,7674,460,10,575.3,359.9,571.3,350.6,0.32,10.123734488813856
test_small,0,,4411257,4419723,4419746,8466,508,24,625.1,360.7,608.1,295.5,2.15,67.37981893712686
test_small,0,,4411257,4419936,4419966,8679,521,31,610.4,285.1,603.4,211.2,2.4,74.2307887604598
test_small,0,,4411257,4420071,4420083,8814,529,13,607.7,218.9,605.5,203.6,0.5,15.457360706149046
test_small,0,,4411257,4420996,4421028,9739,584,33,573.4,209.8,568.6,332.9,3.97,123.19354690891886
test_small,0,,4411257,4421336,4421425,10079,605,90,561.2,335.0,1172.9,459.1,17.66,624.16159766522
test_small,0,,4411257,4421707,4421738,10450,627,32,1181.4,462.3,1187.7,389.1,2.25,73.47060636744465
test_small,0,,4411257,4422054,4422118,10797,648,65,1190.1,397.0,850.2,529.0,10.29,364.6313343639023
test_small,0,,4411257,4422214,4422262,10957,657,49,831.5,527.8,649.8,426.6,6.14,207.9815616827607
test_small,0,,4411257,4422459,4422490,11202,672,32,651.1,435.8,623.0,343.9,3.04,96.10005202912227
test_small,0,,4411257,4422700,4422749,11443,686,50,622.0,350.0,592.2,234.9,3.8,118.89512185115079
test_small,0,,4411257,4422863,4422878,11606,696,16,587.6,222.9,582.2,191.2,1.04,32.15664783524553
test_small,0,,4411257,4423005,4423074,11748,705,70,585.9,198.6,179.5,352.2,12.61,434.4581913141931
test_small,0,,4411257,4423200,4423213,11943,716,14,168.7,355.8,194.3,344.9,0.79,27.82391058064991
test_small,0,,4411257,4423438,4423501,12181,731,64,193.6,340.2,564.8,210.6,11.41,393.1737529388247
test_small,0,,4411257,4423925,4423952,12668,760,28,579.2,207.7,558.9,295.5,2.89,90.11620276065788
test_small,0,,4411257,4424355,4424367,13098,786,13,558.6,294.2,551.4,311.1,0.58,18.36981219283425
test_small,0,,4411257,4425449,4425459,14192,851,11,541.8,304.8,547.8,294.2,0.38,12.18031198286811
test_small,0,,4411257,4426750,4426761,15493,929,12,548.5,308.1,558.3,299.4,0.4,13.10457935227224
test_small,0,,4411257,4427322,4427348,16065,963,27,558.0,297.5,572.1,254.2,1.45,45.53789630626344
test_small,0,,4411257,4427528,4427546,16271,976,19,573.5,260.9,577.3,218.5,1.37,42.56994244769422
test_small,0,,4411257,4430276,4430303,19019,1141,28,589.6,219.4,560.7,280.3,2.14,67.4093465329549
test_small,0,,4411257,4430680,4430690,19423,1165,11,566.6,274.2,580.3,280.7,0.45,15.163772617656798
test_small,0,,4411257,4431128,4431158,19871,1192,31,583.8,287.5,614.8,383.4,3.21,100.78596132398597
test_small,0,,4411257,4431462,4431502,20205,1212,41,612.9,376.7,604.1,569.3,6.05,192.80093360769806
test_small,0,,4411257,4431909,4431917,20652,1238,9,598.5,565.5,587.5,560.9,0.35,11.923086848631113
test_small,0,,4411257,4432076,4432116,20819,1248,41,590.7,554.7,621.1,409.4,4.65,148.4461181708704
test_small,0,,4411257,4432405,4432428,21148,1268,24,628.2,420.5,635.8,381.4,1.26,39.83177123854776
test_small,0,,4411257,4432585,4432638,21328,1279,54,634.3,390.5,619.8,249.9,4.53,141.34571093598842
test_small,0,,4411257,4432834,4432849,21577,1294,16,613.7,235.0,617.5,213.6,0.7,21.73476477903545
test_small,0,,4411257,4433668,4433680,22411,1344,13,620.3,216.9,597.8,213.2,0.67,22.80219287700199
test_small,0,,4411257,4434353,4434362,23096,1385,10,585.5,218.9,570.3,220.7,0.45,15.30620789091803
test_small,0,,4411257,4436503,4436509,25246,1514,7,548.1,229.4,541.8,223.4,0.27,8.700000000000049
test_small,0,,4411257,4436979,4437032,25722,1542,54,551.1,219.2,559.0,353.4,4.32,134.43232498175428
test_small,0,,4411257,4437309,4437318,26052,1562,10,561.1,373.5,575.8,383.5,0.54,17.778920102188376
test_small,0,,4411257,4438781,4438817,27524,1650,37,574.4,388.7,554.6,271.6,3.8,118.76215727242408
test_small,0,,4411257,4439069,4439085,27812,1668,17,560.2,269.6,552.4,247.2,0.76,23.71919054268089
test_small,0,,4411257,4439387,4439706,28130,1687,320,551.3,218.5,562.2,243.5,0.87,27.272880302601006
test_small,0,,4411257,4439816,4439822,28559,1712,7,566.9,239.9,559.6,244.3,0.26,8.523496934943978
test_small,0,,4411257,4440031,4440036,28774,1725,6,560.5,246.5,553.8,248.3,0.21,6.937578828381026
test_small,0,,4411257,4440345,4440354,29088,1744,10,556.0,252.7,575.4,252.9,0.57,19.401030900444418
test_small,0,,4411257,4441246,4441257,29989,1798,12,574.3,254.0,593.1,264.4,0.65,21.484878403193303
test_small,0,,4411257,4441553,4441564,30296,1816,12,591.7,269.7,570.6,275.7,0.65,21.936499264923768
test_small,0,,4411257,4441846,4441899,30589,1834,54,573.7,276.7,594.5,431.0,4.98,155.69563256559255
test_small,0,,4411257,4441996,4442010,30739,1843,15,592.8,444.2,595.5,424.9,0.62,19.4879449917122
test_small,0,,4411257,4442228,4442253,30971,1857,26,593.4,424.2,577.1,378.2,1.54,48.80256140818839
test_small,0,,4411257,4442717,4442761,31460,1886,45,581.0,382.1,584.2,490.6,3.43,108.54717868281976
test_small,0,,4411257,4443210,4443231,31953,1916,22,589.9,491.8,596.4,458.5,1.06,33.92845413513561
test_small,0,,4411257,4443448,4443477,32191,1930,30,594.7,450.1,608.3,403.0,1.55,49.02417770855519
test_small,0,,4411257,4443912,4443939,32655,1958,28,606.5,408.8,589.2,353.1,1.85,58.32478032534711
test_small,0,,4411257,4444259,4444267,33002,1979,9,586.8,362.8,575.9,360.9,0.33,11.064357188738965
test_small,0,,4411257,4444498,4444525,33241,1993,28,573.2,358.3,571.8,296.9,1.97,61.41595883807403
test_small,0,,4411257,4444668,4444713,33411,2003,46,576.3,305.2,562.0,199.6,3.43,106.5638306368535
test_small,0,,4411257,4445257,4445574,34000,2038,318,562.7,201.2,559.3,178.6,0.74,22.854321254414895
test_small,0,,4411257,4445689,4445699,34432,2064,11,559.0,184.0,555.6,200.4,0.54,16.74873129523547
test_small,0,,4411257,4445885,4445911,34628,2076,27,556.4,196.5,545.0,273.7,2.52,78.03717063041175
test_small,0,,4411257,4446290,4446318,35033,2100,29,549.2,270.2,555.1,205.2,2.1,65.26721994998714
test_small,0,,4411257,4447288,4447332,36031,2160,45,555.4,216.0,396.1,356.8,6.47,212.60557377453677
test_small,0,,4411257,4447495,4447511,36238,2173,17,394.8,354.5,359.7,357.5,1.02,35.22797184057012
test_small,0,,4411257,4447809,4447834,36552,2191,26,363.2,349.5,261.8,342.2,2.91,101.6624316057805
test_small,0,,4411257,4448021,4448077,36764,2204,57,256.2,338.5,85.4,369.4,4.83,173.5726072858272
test_small,0,,4411257,4448286,4448341,37029,2220,56,77.4,374.1,-6.8,612.0,7.46,252.3609518130727
test_small,0,,4411257,4448478,4448491,37221,2232,14,-8.8,620.7,19.6,625.3,0.75,28.77012339215804
test_small,0,,4411257,4448690,4448769,37433,2244,80,12.0,626.1,627.5,565.6,16.94,618.4662480685587
test_small,0,,4411257,4448889,4448931,37632,2256,43,645.7,562.5,814.9,542.0,4.9,170.43734919318587
test_small,0,,4411257,4449105,4449163,37848,2269,59,805.9,542.8,1170.1,468.8,10.4,371.6418168075277
test_small,0,,4411257,4449359,4449423,38102,2284,65,1168.5,467.8,1215.9,202.0,8.27,269.9933332510268
test_small,0,,4411257,4449598,4449613,38341,2299,16,1207.7,186.6,1237.8,171.3,0.94,33.76536687198873
test_small,0,,4411257,4449858,4449887,38601,2314,30,1230.3,172.4,1221.5,284.0,3.46,111.94641575325223
test_small,0,,4411257,4450233,4450248,38976,2337,16,1226.9,288.0,1197.8,283.9,0.8,29.387412271243075
test_small,0,,4411257,4450436,4450447,39179,2349,12,1198.3,281.2,1177.7,285.6,0.58,21.064662351910524
test_small,0,,4411257,4450610,4450637,39353,2359,28,1178.5,284.2,1185.7,376.6,2.86,92.68009495031825
test_small,0,,4411257,4450929,4450962,39672,2378,34,1182.9,365.5,1075.5,347.1,3.02,108.96476494720676
test_small,0,,4411257,4451117,4451134,39860,2390,18,1079.0,346.5,1040.6,339.1,1.1,39.10652119531993
test_small,0,,4411257,4451303,4451329,40046,2401,27,1045.6,340.3,1018.0,268.0,2.41,77.38895269998164
test_small,0,,4411257,4451514,4451530,40257,2414,17,1019.9,253.2,1009.2,227.6,0.87,27.7461709069918
test_small,0,,4411257,4451946,4451979,40689,2439,34,1003.7,226.9,1014.2,348.2,3.84,121.75360364276696
test_small,0,,4411257,4452367,4452386,41110,2465,20,1012.9,350.2,958.7,354.4,1.55,54.36248706599057
test_small,0,,4411257,4452626,4452669,41369,2480,44,951.5,352.1,883.4,506.8,5.23,169.02573768512298
test_small,0,,4411257,4452968,4452985,41711,2501,18,872.5,505.8,829.5,523.2,1.34,46.38706716316522
test_small,0,,4411257,4453112,4453175,41855,2509,64,829.3,525.0,791.2,263.9,8.32,263.86515495608734
test_small,0,,4411257,4453365,4453401,42108,2524,37,790.0,244.1,789.1,138.3,3.41,105.80382790806765
test_small,0,,4411257,4453620,4453641,42363,2540,22,789.4,146.1,820.7,102.5,1.68,53.671687135770235
test_small,0,,4411257,4453879,4453914,42622,2555,36,825.1,97.4,704.0,78.9,3.6,122.50493867595709
test_small,0,,4411257,4454106,4454149,42849,2569,44,707.3,84.8,606.1,208.8,4.99,160.05449072112907
test_small,0,,4411257,4454784,4454819,43527,2610,36,604.4,202.5,616.6,295.4,3.02,93.6976520516923
test_small,0,,4411257,4455043,4455072,43786,2625,30,612.0,294.7,639.1,385.2,3.01,94.4704186504961
test_small,0,,4411257,4455746,4455752,44489,2667,7,645.9,387.6,652.1,392.9,0.25,8.156592425762126
test_small,0,,4411257,4455938,4455992,44681,2679,55,646.1,396.9,611.9,533.1,4.4,140.42820229569278
test_small,0,,4411257,4456205,4456225,44948,2695,21,608.4,542.0,616.2,511.2,0.99,31.772314992773218
test_small,0,,4411257,4456416,4456428,45159,2707,13,618.0,506.0,615.7,487.7,0.58,18.443969204051502
test_small,0,,4411257,4456793,4456813,45536,2730,21,622.8,487.0,641.6,473.7,0.69,23.02889489315549
test_small,0,,4411257,4457725,4457748,46468,2786,24,637.2,467.6,642.0,435.4,1.03,32.55579825468886
test_small,0,,4411257,4458660,4458694,47403,2842,35,645.2,429.5,639.4,346.3,2.66,83.40191844316291
test_small,0,,4411257,4458916,4458945,47659,2857,30,643.3,356.3,634.4,296.3,1.95,60.65649182074413
test_small,0,,4411257,4459390,4459421,48133,2886,32,633.7,304.9,620.8,264.3,1.36,42.600117370730324
test_small,0,,4411257,4460245,4460275,48988,2937,31,624.0,285.5,661.1,356.1,2.52,79.75443561332501
test_small,0,,4411257,4460654,4460670,49397,2961,17,657.3,349.2,684.2,367.8,0.99,32.70428106532852
test_small,0,,4411257,4460960,4461013,49703,2980,54,678.5,362.8,618.0,187.1,5.93,185.82448708391476
test_small,0,,4411257,4461177,4461188,49920,2993,12,612.7,174.5,602.8,187.2,0.5,16.102794788483195
test_small,0,,4411257,4462410,4462427,51153,3067,18,602.9,198.2,616.3,225.6,0.97,30.501147519396703
test_small,0,,4411257,4462880,4462897,51623,3095,18,614.2,230.9,602.6,195.5,1.2,37.25211403397129
test_small,0,,4411257,4464152,4464168,52895,3171,17,602.2,196.3,615.3,220.1,0.86,27.167075661542903
test_small,0,,4411257,4464586,4464600,53329,3197,15,613.3,223.7,610.2,207.2,0.54,16.788686666919467
test_small,0,,4411257,4465113,4465127,53856,3229,15,611.3,213.1,623.8,236.8,0.85,26.794402400501507
test_small,0,,4411257,4465932,4465966,54675,3278,35,593.6,246.6,623.3,337.3,3.04,95.4388809657783
test_small,0,,4411257,4466438,4466475,55181,3308,38,598.8,331.6,515.7,321.7,2.46,83.68763349503908
